

9092839	Bezahlt	19.05.2016	CHF58.70	
8862063	Bezahlt	24.03.2016	CHF112.50	
8846783	Bezahlt	19.03.2016	CHF88.70	
8459991	Bezahlt	25.12.2015	CHF53.00	
8316790	Bezahlt	29.11.2015	CHF168.00	
8000237	Bezahlt	14.09.2015	CHF53.10	
7864802	Bezahlt	13.08.2015	CHF76.90	
7734258	Bezahlt	09.07.2015	CHF87.00	
7550569	Bezahlt	21.05.2015	CHF111.70	
7071266	Bezahlt	15.01.2015	CHF42.00	
6796683	Bezahlt	09.11.2014	CHF475.00	
6690873	Bezahlt	11.10.2014	CHF248.00	
6689455	Bezahlt	11.10.2014	CHF57.80	
6689313	Bezahlt	11.10.2014	CHF24.90	
6572464	Bezahlt	07.09.2014	CHF169.00	
6342276	Bezahlt	30.06.2014	CHF95.50	
6234024	Bezahlt	26.05.2014	CHF179.00
6124400	Bezahlt	24.04.2014	CHF399.00	
5796434	Bezahlt	16.01.2014	CHF67.90	
5583514	Bezahlt	14.11.2013	CHF75.00	
5524084	Bezahlt	24.10.2013	CHF61.00	
5507737	Bezahlt	17.10.2013	CHF139.40	
5452061	Bezahlt	27.09.2013	CHF252.70	
5439940	Bezahlt	22.09.2013	CHF80.00	
5435286	Bezahlt	20.09.2013	CHF43.00	
5427388	Bezahlt	19.09.2013	CHF64.00	
5426887	Bezahlt	16.09.2013	CHF55.00	
5413083	Bezahlt	13.09.2013	CHF70.00	
5365117	Bezahlt	26.08.2013	CHF68.00	
4620243	Bezahlt	16.11.2012	CHF25.10	
4612274	Bezahlt	02.11.2012	CHF346.80	
4598762	Bezahlt	08.11.2012	CHF248.40	
4573132	Bezahlt	27.10.2012	CHF185.05	
4531957	Bezahlt	11.10.2012	CHF58.20	
4477690	Bezahlt	16.09.2012	CHF36.30	
4420965	Bezahlt	23.08.2012	CHF65.65	
4419605	Bezahlt	20.08.2012	CHF16.05	
4413661	Bezahlt	18.08.2012	CHF67.05	
4399841	Bezahlt	12.08.2012	CHF148.05	
4377967	Bezahlt	30.07.2012	CHF26.80	
4367924	Bezahlt	27.07.2012	CHF65.05	
4307980	Bezahlt	30.06.2012	CHF63.25	
4198150	Bezahlt	13.05.2012	CHF745.95	
4160718	Bezahlt	26.04.2012	CHF67.60	
4113016	Bezahlt	02.04.2012	CHF41.25	
4034606	Bezahlt	01.03.2012	CHF30.30	
3919365	Bezahlt	14.01.2012	CHF223.20	
3918640	Bezahlt	13.01.2012	CHF39.05	
3855164	Bezahlt	19.12.2011	CHF710.00	
3844020	Bezahlt	16.12.2011	CHF49.40	
3780469	Bezahlt	24.11.2011	CHF76.20	
3742192	Bezahlt	10.11.2011	CHF47.20	
3617552	Bezahlt	17.09.2011	CHF207.90	
