# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -1817 3 1024 2081 13513875 3 ./84/disk/PFADI/MORSE.WRI
DUPTYPE_FIRST_OCCURRENCE 2210 4 1066 2081 13512990 3 ./14/disk/2001/November/19.txt
DUPTYPE_WITHIN_SAME_TREE -2210 4 1066 2081 13513021 3 ./15/disk/2001/November/19.txt
DUPTYPE_FIRST_OCCURRENCE 1513 3 1190 2081 13515361 3 ./208/disk/CHECKIT/CHECKIT.CNF
DUPTYPE_WITHIN_SAME_TREE -1513 3 1190 2081 13515465 3 ./210/disk/CHECKIT/CHECKIT.CNF
DUPTYPE_FIRST_OCCURRENCE 308 2 1214 2081 13512998 3 ./14/disk/difficultLetter.txt
DUPTYPE_WITHIN_SAME_TREE -308 2 1214 2081 13513044 3 ./15/disk/difficultLetter.txt
DUPTYPE_FIRST_OCCURRENCE 1613 3 1472 2081 13515498 3 ./214/disk/ROBORUN/ROBORUN.DOC
DUPTYPE_WITHIN_SAME_TREE -1613 3 1472 2081 13515548 3 ./215/disk/ROBORUN/ROBORUN.DOC
DUPTYPE_FIRST_OCCURRENCE 1800 3 1568 2081 13513412 3 ./34/disk/ELEKTRON/STROBBO.DRW
DUPTYPE_WITHIN_SAME_TREE -1800 3 1568 2081 13513635 3 ./52/disk/ELEKTRON/STROBBO.DRW
DUPTYPE_WITHIN_SAME_TREE -1800 3 1568 2081 13513938 3 ./86/disk/ELEKTRON/STROBBO.DRW
DUPTYPE_FIRST_OCCURRENCE 1272 3 1647 2081 13514418 3 ./113/disk/INI1/CONTROL.INI
DUPTYPE_WITHIN_SAME_TREE -1272 3 1647 2081 13514428 3 ./113/disk/INI2/CONTROL.INI
DUPTYPE_FIRST_OCCURRENCE 1522 3 1710 2081 13515374 3 ./208/disk/LANDMARK/LM-IDE.COM
DUPTYPE_WITHIN_SAME_TREE -1522 3 1710 2081 13515463 3 ./210/disk/LANDMARK/LM-IDE.COM
DUPTYPE_FIRST_OCCURRENCE 2214 4 1754 2081 13512975 3 ./14/disk/2001/Oktober/01.txt
DUPTYPE_WITHIN_SAME_TREE -2214 4 1754 2081 13513813 3 ./68/disk/2001/Oktober/01.txt
DUPTYPE_WITHIN_SAME_TREE -2214 4 1754 2081 13513006 3 ./15/disk/2001/Oktober/01.txt
DUPTYPE_FIRST_OCCURRENCE 1814 3 1857 2081 13513438 3 ./34/disk/PFADI/LILIE3.DRW
DUPTYPE_WITHIN_SAME_TREE -1814 3 1857 2081 13513964 3 ./86/disk/PFADI/LILIE3.DRW
DUPTYPE_WITHIN_SAME_TREE -1814 3 1857 2081 13513889 3 ./84/disk/PFADI/LILIE3.DRW
DUPTYPE_FIRST_OCCURRENCE 1807 3 1865 2081 13513405 3 ./34/disk/MAC/TEXTVERA.HQX
DUPTYPE_WITHIN_SAME_TREE -1807 3 1865 2081 13513931 3 ./86/disk/MAC/TEXTVERA.HQX
DUPTYPE_FIRST_OCCURRENCE 1515 3 1900 2081 13515364 3 ./208/disk/CHECKIT/CHECKIT.LOG
DUPTYPE_WITHIN_SAME_TREE -1515 3 1900 2081 13515467 3 ./210/disk/CHECKIT/CHECKIT.LOG
DUPTYPE_FIRST_OCCURRENCE 1724 3 1920 2081 13513325 3 ./30/disk/BMA/ZUFAS1E.WRI
DUPTYPE_WITHIN_SAME_TREE -1724 3 1920 2081 13513450 3 ./34/disk/BMA/ZUFAS1E.WRI
DUPTYPE_WITHIN_SAME_TREE -1724 3 1920 2081 13513361 3 ./31/disk/BMA/ZUFAS1E.WRI
DUPTYPE_WITHIN_SAME_TREE -1724 3 1920 2081 13513976 3 ./86/disk/BMA/ZUFAS1E.WRI
DUPTYPE_FIRST_OCCURRENCE 1788 3 1920 2081 13513451 3 ./34/disk/BMA/ZUSFAS01.WRI
DUPTYPE_WITHIN_SAME_TREE -1788 3 1920 2081 13513977 3 ./86/disk/BMA/ZUSFAS01.WRI
DUPTYPE_FIRST_OCCURRENCE 1820 3 1954 2081 13513433 3 ./34/disk/PFADI/MORSEN2.DS4
DUPTYPE_WITHIN_SAME_TREE -1820 3 1954 2081 13513884 3 ./84/disk/PFADI/MORSEN2.DS4
DUPTYPE_WITHIN_SAME_TREE -1820 3 1954 2081 13513959 3 ./86/disk/PFADI/MORSEN2.DS4
DUPTYPE_FIRST_OCCURRENCE 2205 4 1958 2081 13512989 3 ./14/disk/2001/November/01.txt
DUPTYPE_WITHIN_SAME_TREE -2205 4 1958 2081 13513020 3 ./15/disk/2001/November/01.txt
